username,userid,profile_location,created_at,text,retweet_count,source,coordinates
juni 🔜 ANE 🦨θ∆,1232187960,"Somerville, MA",2023-01-19 23:08:59,"how to find skunks in your area at #ANE2023 

will be there in a couple hours to try and get thru the reg line

(al… https://t.co/JKbayza9rc",3,Twitter for Android,
Biobot Analytics,868618880612089857,"Cambridge, MA",2023-01-19 23:08:54,📉Update from our #COVID #wastewater data—the nation continues to see a marked drop in ww concentrations! The nation… https://t.co/Fekn0mUUxM,1,Twitter Web App,
Lama Surya Das,36498054,"Lexington, MA",2023-01-19 23:00:55,Have Covid years introduced you to online meditation practice? I invite you to join me for an in person retreat at… https://t.co/7kQnmMxU0O,1,Hootsuite Inc.,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-19 23:00:26,Why is President Trump defending the COVID vaccine?… https://t.co/eFaRBJpvI8,40,Twitter for iPhone,
Barbed Wires 🇺🇲,550182903,"Boston, MA",2023-01-19 22:54:04,@SenJohnKennedy Thanks to Republicans who let COVID run rampant and screws everything up.,0,Twitter for Android,
Talk 1200,117176826,"Boston, MA",2023-01-19 22:53:19,BERENSON: This is sort of what I would expect to see if it&amp;#039;s the vaccines that are causing the problem. https://t.co/o1KtRfWzhf,0,SocialFlow,
CyMorgs 🏳️‍🌈,39361988,"Boston, MA",2023-01-19 22:52:50,20 min wait between delayed buses. Wouldn’t be quite so enraging if I wasn’t still recovering from COVID that showe… https://t.co/Ws0sH6O3vm,0,Twitter for iPhone,
Nick,15542781,"Boston, MA",2023-01-19 22:49:28,"@Variety so bummed to see this. you know how folks say ""F- Cancer"" well, I'm saying F COVID&gt; for real.",0,Twitter Web App,
Nick Crampton,562142421,"Boston, MA",2023-01-19 22:46:04,"@TitleTalkTCL Right before he got hit by COVID, never was the same after that",0,Twitter Web App,
Kyle Austin,10562032,"Boston, MA",2023-01-19 22:44:18,A counter to all the negative #tech/#startup headlines -- Over 5M New US Startups Show Covid-Era Boom Has Legs via… https://t.co/NFFvZDvgRu,0,Twitter Web App,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-19 22:40:20,Why is President Trump Defending the COVID vaccine?… https://t.co/iw5nqI67LQ,43,Twitter for iPhone,
Stephen Soldz; P*st: ssoldz; Mstdn in Bio,2838696137,"Boston, MA",2023-01-19 22:30:38,NYC schools hide COVID outbreak. https://t.co/124I1yWgXN,0,Twitter Web App,
holly,23897881,"boston, ma",2023-01-19 22:28:07,"@babiejenks Many complaints, all so sudden and mysterious, all well documented as post COVID issues, all after a my… https://t.co/KoT7zz5yUi",0,Twitter for iPhone,
Jeff Chausse 🇺🇦,7931412,Outside Boston,2023-01-19 22:22:01,"On May 1st, 2020, in the depths of COVID shutdown, I bought a copy of Ableton Live and began teaching myself electr… https://t.co/oebqptAIR4",0,Twitter Web App,
The Green Hornet goes R.E.D.,1602347697712893976,"Boston, MA",2023-01-19 22:17:26,"#vaccinegenocide #VaccineDeath #vaccineLiars 
They lied about it staying at the injection site, they lied about it… https://t.co/XISFlon1sV",0,Twitter for iPad,
Dr. Julia Raifman (@JuliaRaifman@med-mastodon.com),556519575,"Boston, MA",2023-01-19 22:10:23,"Grateful to @jacindaardern for her aspirational, impactful leadership

New Zealand has 1/6th the COVID death rate o… https://t.co/B75pKeJ9kW",9,Twitter Web App,
J9,323006241,Boston,2023-01-19 22:06:08,"@GOP Which ones? The ones in which women have a right to an abortion, should they choose one? Ones that support  th… https://t.co/nyPPCLbcN2",0,Twitter Web App,
"Sanjee Baksh, MD, PhD",924689806860447744,"Boston, MA",2023-01-19 22:04:59,@JuliaNEM33 The only good things that came out of covid were making white coats optional and scrubs appropriate every day,0,Twitter for iPhone,
Stem Advocacy Institute (SAi),4250558987,"Boston, MA",2023-01-19 22:01:08,"Our first SAi Forum of the year was with @drkiki, VP of PR for the @ScienceTalkOrg. She discussed her experiences p… https://t.co/l3GGdkDfnj",0,Hootsuite Inc.,
Dan Elton,203639204,"Somerville, MA",2023-01-19 22:00:35,"@strangestloop I'm not comfortable going into my most hard, but 2nd was my experience w ""long covid"" this Fall, I t… https://t.co/6YEmeT0uX5",0,Twitter Web App,
Mass. Public Health,23711785,"Boston, MA",2023-01-19 22:00:01,Tested positive for COVID-19 and have symptoms? Prescription treatments are available. Start soon and help reduce y… https://t.co/vrLaNSG8yG,0,Twitter Media Studio,
Tomi Connelly,1380771908153663488,"Lynn, MA",2023-01-19 21:56:51,@WHO @DrMikeRyan COVID VACCINES KILL!,0,Twitter Web App,
the lestat configuration,16352751,Boston,2023-01-19 21:52:45,"@IzzyGnosis i mean, you did make it THIS LONG before you got covid, so at least there's that",0,TweetDeck,
Onion Knight,213961555,"Boston, MA",2023-01-19 21:52:28,@JonOwens56 @JamesPellegrom @UnethicalDodgso @NoContextBrits Did you ever consider that maybe Covid killed off a lo… https://t.co/s1tMmcd1o5,0,Twitter Web App,
Sandy Hardy,1452387859332313101,"Boston, MA",2023-01-19 21:47:01,@SirTobyBelch69 @PatrickDFields @johnrich You know zero about me. I know as a fact hospitals were claiming people d… https://t.co/pk77R3x0o9,0,Twitter for iPhone,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-19 21:46:55,8/Eosinophilia was the most frequently reported adverse event following administration of Pfizer’s COVID vaccine. T… https://t.co/hegJunfrUA,6,Twitter for iPhone,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-19 21:46:51,2/A 73-year-old man presented to his doctor with a 3 week history of dyspnea (shortness of breath) 1 week following… https://t.co/etbF7l8yRx,1,Twitter for iPhone,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-19 21:46:50,"🧵/🚨BREAKING — Immune Dysregulation After Pfizer’s COVID-19 Vaccine — Worsening Eosinophilia, Dyspnea And Lung Patho… https://t.co/sOHijXYcv1",114,Twitter for iPhone,
Stephen Skolnick,1406677880843743239,"Somerville, MA",2023-01-19 21:38:23,"@tylcole @WillManidis You'd be surprised how many people with ""Long COVID"" have been nursing a vitamin K deficiency… https://t.co/U0RUJLPfqk",0,Twitter Web App,
Brian Harrison,61395917,"Peabody, MA",2023-01-19 21:33:21,I like Mike Brey. He just fit with ND. He will have been there for 23 seasons. He produces quality people. But let'… https://t.co/j2fXwBOO7n,0,Twitter Web App,
Bullish investor,1595212509715337217,"Boston, MA",2023-01-19 21:25:56,Good news make the stock go down .05 cents? CDC program increased 5 to 7 airport.testing 250 flights week to 500+.T… https://t.co/taq63mKbUX,0,Twitter for iPhone,
ZekeDane,1275866724408217605,Boston MA,2023-01-19 21:24:13,"@MuchoMoljo Fond memories of @newwrestling1 ""Studio Wars"" during Covid's peak - in West Warwick RI.",0,Twitter for Android,
Joeycheese,1506679014139834371,"Boston, MA",2023-01-19 21:13:57,@RonnieBardah @jaygilbert11 @Dublistic Twin river scum pre covid,0,Twitter for iPhone,
Jack Badelaire,205038505,"Boston, MA",2023-01-19 21:13:50,"@JackEdwardDove SERIOUSLY. Things changed around here when COVID hit, but I was always the champion of Don't Eat at… https://t.co/nMS79vLVDY",0,Twitter Web App,
Mass. Public Health,23711785,"Boston, MA",2023-01-19 21:01:21,"Due to recent federal action, the extra COVID SNAP benefits are ending March 2, 2023 in MA. Households will continu… https://t.co/EgVlY0fvwH",3,Hootsuite Inc.,
Alina Chan,431762931,"Cambridge, MA",2023-01-19 21:01:06,"When my colleagues and I said in 2020 that both natural and lab #OriginOfCovid hypotheses were viable, we had no id… https://t.co/1khEkuMBdj",37,Twitter Web App,
Amundi US,54986495,"Boston, MA",2023-01-19 21:00:16,"The main driver of European growth dynamics remains the energy shock, compounded by unresolved post-Covid-19 supply… https://t.co/A777wLQhBE",0,Hootsuite Inc.,
Josie,18656586,"Boston, MA",2023-01-19 20:59:27,"10+ students in one classroom are out with Covid, great.",0,Twitter Web App,
Ray Robert Pesci,1580005265746939904,"South Boston, MA",2023-01-19 20:56:06,"I hear Robbie Knievel tried to jump over 10,000 covid vaccine shots, missed the landing and died. More proof the vaccine is deadly.",0,Twitter for iPhone,
Ray Robert Pesci,1580005265746939904,"South Boston, MA",2023-01-19 20:51:25,@NotHoodlum She died from covid and fried chicken.,0,Twitter for iPhone,
holly,23897881,"boston, ma",2023-01-19 20:49:36,Funny how all the people who were extremely sick for a month plus with “definitely not COVID” are now dealing with… https://t.co/A5DJLeqOv8,0,Twitter for iPhone,
Cowboy Dan Returns,67174996,"Roslindale, MA",2023-01-19 20:49:30,the wfh during covid lockdown to listening to atmospheric drum n bass pipeline,0,Twitter Web App,
The Bedford Citizen,614592719,"Bedford, MA",2023-01-19 20:48:52,"Bedford residents are invited to a Flu and COVID-19 Vaccine Clinic from 4 to 7 p.m. on Friday, Jan. 27. The clinic,… https://t.co/mDx64Ms6Gz",0,Blog2Social APP,
